parking_name,address,vehicle_types,weekday_fee,weekend_fee,fee_note,google_rating,google_review_count,google_maps_url,street_view_thumbnail_url,source
義大大昌醫院附屬停車場,高雄市三民區大昌一路305、309、311號（B1F部分、B2F、B3F）,汽車,每半小時15元；當日最高上限300元,每半小時15元；當日最高上限300元,（若有月租/上限/優惠，已寫在費率文字內；實際以現場公告為準）,,,https://www.google.com/maps/search/?api=1&query=%E7%BE%A9%E5%A4%A7%E5%A4%A7%E6%98%8C%E9%86%AB%E9%99%A2%E9%99%84%E5%B1%AC%E5%81%9C%E8%BB%8A%E5%A0%B4%20%E9%AB%98%E9%9B%84%E5%B8%82%E4%B8%89%E6%B0%91%E5%8D%80%E5%A4%A7%E6%98%8C%E4%B8%80%E8%B7%AF305%E3%80%81309%E3%80%81311%E8%99%9F%EF%BC%88B1F%E9%83%A8%E5%88%86%E3%80%81B2F%E3%80%81B3F%EF%BC%89,https://maps.googleapis.com/maps/api/streetview?size=600x400&location=%E9%AB%98%E9%9B%84%E5%B8%82%E4%B8%89%E6%B0%91%E5%8D%80%E5%A4%A7%E6%98%8C%E4%B8%80%E8%B7%AF305%E3%80%81309%E3%80%81311%E8%99%9F%EF%BC%88B1F%E9%83%A8%E5%88%86%E3%80%81B2F%E3%80%81B3F%EF%BC%89&key=YOUR_API_KEY,TBKC 合格登記路外民營停車場一覽表(更新至114年10月底)
高富覺民停車場,高雄市三民區九如一路548巷弄6號西側（大順段1069地號）,汽車,"每半小時20元；當日最高320元；月租每月4,000元","每半小時20元；當日最高320元；月租每月4,000元",（若有月租/上限/優惠，已寫在費率文字內；實際以現場公告為準）,,,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E5%AF%8C%E8%A6%BA%E6%B0%91%E5%81%9C%E8%BB%8A%E5%A0%B4%20%E9%AB%98%E9%9B%84%E5%B8%82%E4%B8%89%E6%B0%91%E5%8D%80%E4%B9%9D%E5%A6%82%E4%B8%80%E8%B7%AF548%E5%B7%B7%E5%BC%846%E8%99%9F%E8%A5%BF%E5%81%B4%EF%BC%88%E5%A4%A7%E9%A0%86%E6%AE%B51069%E5%9C%B0%E8%99%9F%EF%BC%89,https://maps.googleapis.com/maps/api/streetview?size=600x400&location=%E9%AB%98%E9%9B%84%E5%B8%82%E4%B8%89%E6%B0%91%E5%8D%80%E4%B9%9D%E5%A6%82%E4%B8%80%E8%B7%AF548%E5%B7%B7%E5%BC%846%E8%99%9F%E8%A5%BF%E5%81%B4%EF%BC%88%E5%A4%A7%E9%A0%86%E6%AE%B51069%E5%9C%B0%E8%99%9F%EF%BC%89&key=YOUR_API_KEY,TBKC 合格登記路外民營停車場一覽表(更新至114年10月底)
褒忠義民廟停車場,"高雄市三民區褒忠街與壽昌路口西南側（獅頭段2651-4,2653-1地號）",汽車,每半小時15元（當日最高120元）,每半小時15元（當日最高120元）,（若有月租/上限/優惠，已寫在費率文字內；實際以現場公告為準）,,,https://www.google.com/maps/search/?api=1&query=%E8%A4%92%E5%BF%A0%E7%BE%A9%E6%B0%91%E5%BB%9F%E5%81%9C%E8%BB%8A%E5%A0%B4%20%E9%AB%98%E9%9B%84%E5%B8%82%E4%B8%89%E6%B0%91%E5%8D%80%E8%A4%92%E5%BF%A0%E8%A1%97%E8%88%87%E5%A3%BD%E6%98%8C%E8%B7%AF%E5%8F%A3%E8%A5%BF%E5%8D%97%E5%81%B4%EF%BC%88%E7%8D%85%E9%A0%AD%E6%AE%B52651-4%2C2653-1%E5%9C%B0%E8%99%9F%EF%BC%89,https://maps.googleapis.com/maps/api/streetview?size=600x400&location=%E9%AB%98%E9%9B%84%E5%B8%82%E4%B8%89%E6%B0%91%E5%8D%80%E8%A4%92%E5%BF%A0%E8%A1%97%E8%88%87%E5%A3%BD%E6%98%8C%E8%B7%AF%E5%8F%A3%E8%A5%BF%E5%8D%97%E5%81%B4%EF%BC%88%E7%8D%85%E9%A0%AD%E6%AE%B52651-4%2C2653-1%E5%9C%B0%E8%99%9F%EF%BC%89&key=YOUR_API_KEY,TBKC 合格登記路外民營停車場一覽表(更新至114年10月底)
大豐停車場,高雄市三民區大豐二路、春陽街口（灣子內段寶珠溝小段767等地號）,汽車,"月租每月2,500元；08:00~24:00","月租每月2,500元；08:00~24:00",（若有月租/上限/優惠，已寫在費率文字內；實際以現場公告為準）,,,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E8%B1%90%E5%81%9C%E8%BB%8A%E5%A0%B4%20%E9%AB%98%E9%9B%84%E5%B8%82%E4%B8%89%E6%B0%91%E5%8D%80%E5%A4%A7%E8%B1%90%E4%BA%8C%E8%B7%AF%E3%80%81%E6%98%A5%E9%99%BD%E8%A1%97%E5%8F%A3%EF%BC%88%E7%81%A3%E5%AD%90%E5%85%A7%E6%AE%B5%E5%AF%B6%E7%8F%A0%E6%BA%9D%E5%B0%8F%E6%AE%B5767%E7%AD%89%E5%9C%B0%E8%99%9F%EF%BC%89,https://maps.googleapis.com/maps/api/streetview?size=600x400&location=%E9%AB%98%E9%9B%84%E5%B8%82%E4%B8%89%E6%B0%91%E5%8D%80%E5%A4%A7%E8%B1%90%E4%BA%8C%E8%B7%AF%E3%80%81%E6%98%A5%E9%99%BD%E8%A1%97%E5%8F%A3%EF%BC%88%E7%81%A3%E5%AD%90%E5%85%A7%E6%AE%B5%E5%AF%B6%E7%8F%A0%E6%BA%9D%E5%B0%8F%E6%AE%B5767%E7%AD%89%E5%9C%B0%E8%99%9F%EF%BC%89&key=YOUR_API_KEY,TBKC 合格登記路外民營停車場一覽表(更新至114年10月底)
永銨正義路停車場,高雄市三民區正義路與正義路311巷口東北側（澄正段16地號）,汽車,"每半小時30元（當日最高300元）；月租每月3,500元","每半小時30元（當日最高300元）；月租每月3,500元",（若有月租/上限/優惠，已寫在費率文字內；實際以現場公告為準）,,,https://www.google.com/maps/search/?api=1&query=%E6%B0%B8%E9%8A%A8%E6%AD%A3%E7%BE%A9%E8%B7%AF%E5%81%9C%E8%BB%8A%E5%A0%B4%20%E9%AB%98%E9%9B%84%E5%B8%82%E4%B8%89%E6%B0%91%E5%8D%80%E6%AD%A3%E7%BE%A9%E8%B7%AF%E8%88%87%E6%AD%A3%E7%BE%A9%E8%B7%AF311%E5%B7%B7%E5%8F%A3%E6%9D%B1%E5%8C%97%E5%81%B4%EF%BC%88%E6%BE%84%E6%AD%A3%E6%AE%B516%E5%9C%B0%E8%99%9F%EF%BC%89,https://maps.googleapis.com/maps/api/streetview?size=600x400&location=%E9%AB%98%E9%9B%84%E5%B8%82%E4%B8%89%E6%B0%91%E5%8D%80%E6%AD%A3%E7%BE%A9%E8%B7%AF%E8%88%87%E6%AD%A3%E7%BE%A9%E8%B7%AF311%E5%B7%B7%E5%8F%A3%E6%9D%B1%E5%8C%97%E5%81%B4%EF%BC%88%E6%BE%84%E6%AD%A3%E6%AE%B516%E5%9C%B0%E8%99%9F%EF%BC%89&key=YOUR_API_KEY,TBKC 合格登記路外民營停車場一覽表(更新至114年10月底)
高雄市立陽明網球場停車場,高雄市三民區澄和路269號（寶國段321地號）,汽車,"每半小時15元（當日最高300元）；月租每月3,000元；身障優惠另計","每半小時15元（當日最高300元）；月租每月3,000元；身障優惠另計",（若有月租/上限/優惠，已寫在費率文字內；實際以現場公告為準）,,,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E7%AB%8B%E9%99%BD%E6%98%8E%E7%B6%B2%E7%90%83%E5%A0%B4%E5%81%9C%E8%BB%8A%E5%A0%B4%20%E9%AB%98%E9%9B%84%E5%B8%82%E4%B8%89%E6%B0%91%E5%8D%80%E6%BE%84%E5%92%8C%E8%B7%AF269%E8%99%9F%EF%BC%88%E5%AF%B6%E5%9C%8B%E6%AE%B5321%E5%9C%B0%E8%99%9F%EF%BC%89,https://maps.googleapis.com/maps/api/streetview?size=600x400&location=%E9%AB%98%E9%9B%84%E5%B8%82%E4%B8%89%E6%B0%91%E5%8D%80%E6%BE%84%E5%92%8C%E8%B7%AF269%E8%99%9F%EF%BC%88%E5%AF%B6%E5%9C%8B%E6%AE%B5321%E5%9C%B0%E8%99%9F%EF%BC%89&key=YOUR_API_KEY,TBKC 合格登記路外民營停車場一覽表(更新至114年10月底)
高雄市立中山網球場停車場,高雄市三民區平等路12號（大港段3394及3393-7地號）,汽車,每半小時15元（當日最高300元）；身障優惠另計,每半小時15元（當日最高300元）；身障優惠另計,（若有月租/上限/優惠，已寫在費率文字內；實際以現場公告為準）,,,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E7%AB%8B%E4%B8%AD%E5%B1%B1%E7%B6%B2%E7%90%83%E5%A0%B4%E5%81%9C%E8%BB%8A%E5%A0%B4%20%E9%AB%98%E9%9B%84%E5%B8%82%E4%B8%89%E6%B0%91%E5%8D%80%E5%B9%B3%E7%AD%89%E8%B7%AF12%E8%99%9F%EF%BC%88%E5%A4%A7%E6%B8%AF%E6%AE%B53394%E5%8F%8A3393-7%E5%9C%B0%E8%99%9F%EF%BC%89,https://maps.googleapis.com/maps/api/streetview?size=600x400&location=%E9%AB%98%E9%9B%84%E5%B8%82%E4%B8%89%E6%B0%91%E5%8D%80%E5%B9%B3%E7%AD%89%E8%B7%AF12%E8%99%9F%EF%BC%88%E5%A4%A7%E6%B8%AF%E6%AE%B53394%E5%8F%8A3393-7%E5%9C%B0%E8%99%9F%EF%BC%89&key=YOUR_API_KEY,TBKC 合格登記路外民營停車場一覽表(更新至114年10月底)
乾元興停車場,高雄市三民區大順二路530號右側（灣勝段594地號）,汽車,"每半小時15元（當日最高150元）；月租每月3,000元","每半小時15元（當日最高150元）；月租每月3,000元",（若有月租/上限/優惠，已寫在費率文字內；實際以現場公告為準）,,,https://www.google.com/maps/search/?api=1&query=%E4%B9%BE%E5%85%83%E8%88%88%E5%81%9C%E8%BB%8A%E5%A0%B4%20%E9%AB%98%E9%9B%84%E5%B8%82%E4%B8%89%E6%B0%91%E5%8D%80%E5%A4%A7%E9%A0%86%E4%BA%8C%E8%B7%AF530%E8%99%9F%E5%8F%B3%E5%81%B4%EF%BC%88%E7%81%A3%E5%8B%9D%E6%AE%B5594%E5%9C%B0%E8%99%9F%EF%BC%89,https://maps.googleapis.com/maps/api/streetview?size=600x400&location=%E9%AB%98%E9%9B%84%E5%B8%82%E4%B8%89%E6%B0%91%E5%8D%80%E5%A4%A7%E9%A0%86%E4%BA%8C%E8%B7%AF530%E8%99%9F%E5%8F%B3%E5%81%B4%EF%BC%88%E7%81%A3%E5%8B%9D%E6%AE%B5594%E5%9C%B0%E8%99%9F%EF%BC%89&key=YOUR_API_KEY,TBKC 合格登記路外民營停車場一覽表(更新至114年10月底)
酬信大順覺民停車場,高雄市三民區大順二路55巷旁（大順段1059等地號）,汽車,"每半小時40元（當日最高400元）；月租每月4,500元","每半小時40元（當日最高400元）；月租每月4,500元",（若有月租/上限/優惠，已寫在費率文字內；實際以現場公告為準）,,,https://www.google.com/maps/search/?api=1&query=%E9%85%AC%E4%BF%A1%E5%A4%A7%E9%A0%86%E8%A6%BA%E6%B0%91%E5%81%9C%E8%BB%8A%E5%A0%B4%20%E9%AB%98%E9%9B%84%E5%B8%82%E4%B8%89%E6%B0%91%E5%8D%80%E5%A4%A7%E9%A0%86%E4%BA%8C%E8%B7%AF55%E5%B7%B7%E6%97%81%EF%BC%88%E5%A4%A7%E9%A0%86%E6%AE%B51059%E7%AD%89%E5%9C%B0%E8%99%9F%EF%BC%89,https://maps.googleapis.com/maps/api/streetview?size=600x400&location=%E9%AB%98%E9%9B%84%E5%B8%82%E4%B8%89%E6%B0%91%E5%8D%80%E5%A4%A7%E9%A0%86%E4%BA%8C%E8%B7%AF55%E5%B7%B7%E6%97%81%EF%BC%88%E5%A4%A7%E9%A0%86%E6%AE%B51059%E7%AD%89%E5%9C%B0%E8%99%9F%EF%BC%89&key=YOUR_API_KEY,TBKC 合格登記路外民營停車場一覽表(更新至114年10月底)
停壹德旺十全停車場,高雄市三民區德旺街與十全三路口西北側（新都段86~88地號）,汽車,"每半小時30元（當日最高300元）；月租每月3,500元","每半小時30元（當日最高300元）；月租每月3,500元",（若有月租/上限/優惠，已寫在費率文字內；實際以現場公告為準）,,,https://www.google.com/maps/search/?api=1&query=%E5%81%9C%E5%A3%B9%E5%BE%B7%E6%97%BA%E5%8D%81%E5%85%A8%E5%81%9C%E8%BB%8A%E5%A0%B4%20%E9%AB%98%E9%9B%84%E5%B8%82%E4%B8%89%E6%B0%91%E5%8D%80%E5%BE%B7%E6%97%BA%E8%A1%97%E8%88%87%E5%8D%81%E5%85%A8%E4%B8%89%E8%B7%AF%E5%8F%A3%E8%A5%BF%E5%8C%97%E5%81%B4%EF%BC%88%E6%96%B0%E9%83%BD%E6%AE%B586~88%E5%9C%B0%E8%99%9F%EF%BC%89,https://maps.googleapis.com/maps/api/streetview?size=600x400&location=%E9%AB%98%E9%9B%84%E5%B8%82%E4%B8%89%E6%B0%91%E5%8D%80%E5%BE%B7%E6%97%BA%E8%A1%97%E8%88%87%E5%8D%81%E5%85%A8%E4%B8%89%E8%B7%AF%E5%8F%A3%E8%A5%BF%E5%8C%97%E5%81%B4%EF%BC%88%E6%96%B0%E9%83%BD%E6%AE%B586~88%E5%9C%B0%E8%99%9F%EF%BC%89&key=YOUR_API_KEY,TBKC 合格登記路外民營停車場一覽表(更新至114年10月底)
